"task","code","cue","response","target","TSR_score","strict","lenient","condition"
1,39038,"anguish","flyer","giggle",36,"wrong","wrong","A2_B2"
1,39038,"apple","flower","flower",100,"correct","correct","trial"
1,39038,"banner","IDK","breed",25,"wrong","wrong","A2_B1"
1,39038,"bloom","aguish","habitat",31,"wrong","wrong","A1_B2"
1,39038,"boost","idk","hunter",0,"wrong","wrong","A1_B1"
1,39038,"breeding","idk","nuisance",18,"wrong","wrong","A1_B2"
1,39038,"broker","knob","fatal",0,"wrong","wrong","A1_B1"
1,39038,"click","IDK","wizard",44,"wrong","wrong","A2_B2"
1,39038,"compound","chemist","chemist",100,"correct","correct","A2_B2"
1,39038,"confined","donation","donation",100,"correct","correct","A1_B1"
1,39038,"cosmic","idk","guiding",40,"wrong","wrong","A1_B2"
1,39038,"currency","flyer","flyer",100,"correct","correct","A2_B1"
1,39038,"delayed","IDK","mature",0,"wrong","wrong","A1_B2"
1,39038,"demand","IDK","crack",25,"wrong","wrong","A2_B1"
1,39038,"depend","IDK","wasp",0,"wrong","wrong","A1_B1"
1,39038,"dive","IDK","mischief",18,"wrong","wrong","A2_B1"
1,39038,"donation","confined","portray",13,"wrong","wrong","A2_B2"
1,39038,"editing","frozen","frozen",100,"correct","correct","A2_B1"
1,39038,"gallery","id","prolong",0,"wrong","wrong","A1_B2"
1,39038,"gifted","IDK","litter",22,"wrong","wrong","A1_B1"
1,39038,"grape","fruit","fruit",100,"correct","correct","trial"
1,39038,"harass","striped","striped",100,"correct","correct","A2_B1"
1,39038,"heroic","IDK","frontier",18,"wrong","wrong","A2_B1"
1,39038,"laser","idk","oyster",0,"wrong","wrong","A2_B2"
1,39038,"liberty","venom","hairdo",18,"wrong","wrong","A1_B2"
1,39038,"madness","IDK","ominous",20,"wrong","wrong","A2_B2"
1,39038,"modesty","IDK","knob",29,"wrong","wrong","A1_B1"
1,39038,"mole","IDK","folklore",18,"wrong","wrong","A2_B2"
1,39038,"mutant","nurse","nurse",100,"correct","correct","A1_B2"
1,39038,"olive","knob","banking",36,"wrong","wrong","A1_B1"
1,39038,"orange","tree","tree",100,"correct","correct","trial"
1,39038,"orphan","IDK","writer",22,"wrong","wrong","A1_B2"
1,39038,"pageant","IDK","east",0,"wrong","wrong","A2_B2"
1,39038,"pigeon","IDK","compute",0,"wrong","wrong","A1_B1"
1,39038,"poised","IDK","annual",0,"wrong","wrong","A1_B2"
1,39038,"proposal","idk","vitamin",20,"wrong","wrong","A1_B1"
1,39038,"publicity","crack","venom",0,"wrong","wrong","A2_B1"
1,39038,"publish","idk","spacious",18,"wrong","wrong","A2_B1"
1,39038,"sacred","IDK","regard",22,"wrong","wrong","A2_B2"
1,39038,"sewer","educate","educate",100,"correct","correct","A2_B1"
1,39038,"surgical","natives","natives",100,"correct","correct","A1_B2"
1,39038,"vessel","IDK","upon",0,"wrong","wrong","A1_B1"
1,39058,"adjust","oyster","oyster",100,"correct","correct","A2_B2"
1,39058,"anguish","flyer","flyer",100,"correct","correct","A2_B2"
1,39058,"apple","flower","flower",100,"correct","correct","trial"
1,39058,"banner","IDK","wasp",0,"wrong","wrong","A2_B1"
1,39058,"bloom","IDK","habitat",20,"wrong","wrong","A1_B2"
1,39058,"boost","nuisance","nuisance",100,"correct","correct","A1_B1"
1,39058,"breeding","IDK","guiding",40,"wrong","wrong","A1_B2"
1,39058,"broker","IDK","east",0,"wrong","wrong","A1_B1"
1,39058,"click","compute","compute",100,"correct","correct","A2_B2"
1,39058,"compound","vitamin","vitamin",100,"correct","correct","A2_B2"
1,39058,"confined","IDK","prolong",0,"wrong","wrong","A1_B1"
1,39058,"cosmic","IDK","divine",22,"wrong","wrong","A1_B2"
1,39058,"currency","giggle","giggle",100,"correct","correct","A2_B1"
1,39058,"delayed","writer","writer",100,"correct","correct","A1_B2"
1,39058,"demand","IDK","upon",0,"wrong","wrong","A2_B1"
1,39058,"depend","IDK","chemist",20,"wrong","wrong","A1_B1"
1,39058,"dive","frontier","litter",43,"wrong","wrong","A2_B1"
1,39058,"donation","IDK","portray",0,"wrong","wrong","A2_B2"
1,39058,"editing","IDK","donation",18,"wrong","wrong","A2_B1"
1,39058,"gallery","IDK","spacious",18,"wrong","wrong","A1_B2"
1,39058,"gifted","wizard","wizard",100,"correct","correct","A1_B1"
1,39058,"grape","fruit","fruit",100,"correct","correct","trial"
1,39058,"harass","stripped","striped",93,"wrong","correct","A2_B1"
1,39058,"heroic","frontier","frontier",100,"correct","correct","A2_B1"
1,39058,"laser","IDK","frozen",0,"wrong","wrong","A2_B2"
1,39058,"liberty","IDK","venom",0,"wrong","wrong","A1_B2"
1,39058,"madness","IDK","mischief",18,"wrong","wrong","A2_B2"
1,39058,"modesty","anguish","nurse",50,"wrong","wrong","A1_B1"
1,39058,"mole","IDK","folklore",18,"wrong","wrong","A2_B2"
1,39058,"mutant","IDK","fatal",0,"wrong","wrong","A1_B2"
1,39058,"olive","banking","banking",100,"correct","correct","A1_B1"
1,39058,"orange","tree","tree",100,"correct","correct","trial"
1,39058,"orphan","mature","mature",100,"correct","correct","A1_B2"
1,39058,"pageant","annual","annual",100,"correct","correct","A2_B2"
1,39058,"pigeon","ominous","ominous",100,"correct","correct","A1_B1"
1,39058,"poised","knob","knob",100,"correct","correct","A1_B2"
1,39058,"proposal","IDK","breed",25,"wrong","wrong","A1_B1"
1,39058,"publicity","IDK","crack",25,"wrong","wrong","A2_B1"
1,39058,"publish","IDK","hunter",0,"wrong","wrong","A2_B1"
1,39058,"sacred","IDK","regard",22,"wrong","wrong","A2_B2"
1,39058,"sewer","IDK","educate",20,"wrong","wrong","A2_B1"
1,39058,"surgical","IDK","natives",20,"wrong","wrong","A1_B2"
1,39058,"vessel","IDK","hairdo",44,"wrong","wrong","A1_B1"
1,39059,"adjust","oyster","oyster",100,"correct","correct","A2_B2"
1,39059,"anguish","idk","striped",40,"wrong","wrong","A2_B2"
1,39059,"apple","flower","flower",100,"correct","correct","trial"
1,39059,"banner","hairdo","hairdo",100,"correct","correct","A2_B1"
1,39059,"bloom","annual","annual",100,"correct","correct","A1_B2"
1,39059,"boost","frozen","frozen",100,"correct","correct","A1_B1"
1,39059,"breeding","idk","donation",18,"wrong","wrong","A1_B2"
1,39059,"broker","idk","east",0,"wrong","wrong","A1_B1"
1,39059,"click","mature","mature",100,"correct","correct","A2_B2"
1,39059,"compound","idk","crack",25,"wrong","wrong","A2_B2"
1,39059,"confined","idk","portray",0,"wrong","wrong","A1_B1"
1,39059,"cosmic","idk","guiding",40,"wrong","wrong","A1_B2"
1,39059,"currency","idk","fatal",0,"wrong","wrong","A2_B1"
1,39059,"delayed","idk","folklore",18,"wrong","wrong","A1_B2"
1,39059,"demand","hairdo","vitamin",31,"wrong","wrong","A2_B1"
1,39059,"depend","idk","regard",22,"wrong","wrong","A1_B1"
1,39059,"dive","frontier","frontier",100,"correct","correct","A2_B1"
1,39059,"donation","idk","spacious",18,"wrong","wrong","A2_B2"
1,39059,"editing","idk","divine",22,"wrong","wrong","A2_B1"
1,39059,"gallery","prolong","prolong",100,"correct","correct","A1_B2"
1,39059,"gifted","idk","writer",22,"wrong","wrong","A1_B1"
1,39059,"grape","fruit","fruit",100,"correct","correct","trial"
1,39059,"harass","idk","habitat",20,"wrong","wrong","A2_B1"
1,39059,"heroic","idk","ominous",20,"wrong","wrong","A2_B1"
1,39059,"laser","nuisance","nuisance",100,"correct","correct","A2_B2"
1,39059,"liberty","idk","natives",20,"wrong","wrong","A1_B2"
1,39059,"madness","idk","litter",22,"wrong","wrong","A2_B2"
1,39059,"modesty","nurse","nurse",100,"correct","correct","A1_B1"
1,39059,"mole","idk","compute",0,"wrong","wrong","A2_B2"
1,39059,"mutant","idk","giggle",22,"wrong","wrong","A1_B2"
1,39059,"olive","knob","knob",100,"correct","correct","A1_B1"
1,39059,"orange","tree","tree",100,"correct","correct","trial"
1,39059,"orphan","idk","wizard",44,"wrong","wrong","A1_B2"
1,39059,"pageant","idk","banking",20,"wrong","wrong","A2_B2"
1,39059,"pigeon","idk","mischief",18,"wrong","wrong","A1_B1"
1,39059,"poised","flyer","flyer",100,"correct","correct","A1_B2"
1,39059,"proposal","idk","upon",0,"wrong","wrong","A1_B1"
1,39059,"publicity","chemist","chemist",100,"correct","correct","A2_B1"
1,39059,"publish","idk","hunter",0,"wrong","wrong","A2_B1"
1,39059,"sacred","venom","venom",100,"correct","correct","A2_B2"
1,39059,"sewer","educate","educate",100,"correct","correct","A2_B1"
1,39059,"surgical","idk","breed",25,"wrong","wrong","A1_B2"
1,39059,"vessel","wasp","wasp",100,"correct","correct","A1_B1"
1,39082,"adjust","IDK","divine",22,"wrong","wrong","A2_B2"
1,39082,"anguish","IDK","east",0,"wrong","wrong","A2_B2"
1,39082,"apple","flower","flower",100,"correct","correct","trial"
1,39082,"banner","venom","venom",100,"correct","correct","A2_B1"
1,39082,"bloom","nurse","nurse",100,"correct","correct","A1_B2"
1,39082,"boost","frozen","frozen",100,"correct","correct","A1_B1"
1,39082,"breeding","spacious","spacious",100,"correct","correct","A1_B2"
1,39082,"broker","IDK","habitat",20,"wrong","wrong","A1_B1"
1,39082,"click","murder","mischief",29,"wrong","wrong","A2_B2"
1,39082,"compound","wasp","wasp",100,"correct","correct","A2_B2"
1,39082,"confined","potray","portray",92,"wrong","correct","A1_B1"
1,39082,"cosmic","oyster","oyster",100,"correct","correct","A1_B2"
1,39082,"currency","fatal","fatal",100,"correct","correct","A2_B1"
1,39082,"delayed","mature","mature",100,"correct","correct","A1_B2"
1,39082,"demand","crack","crack",100,"correct","correct","A2_B1"
1,39082,"depend","IDK","chemist",20,"wrong","wrong","A1_B1"
1,39082,"dive","mysterious","ominous",59,"wrong","wrong","A2_B1"
1,39082,"donation","hunter","hunter",100,"correct","correct","A2_B2"
1,39082,"editing","donation","donation",100,"correct","correct","A2_B1"
1,39082,"gallery","goon","guiding",36,"wrong","wrong","A1_B2"
1,39082,"gifted","writer","writer",100,"correct","correct","A1_B1"
1,39082,"grape","tree","tree",100,"correct","correct","trial"
1,39082,"harass","IDK","striped",40,"wrong","wrong","A2_B1"
1,39082,"heroic","frontier","frontier",100,"correct","correct","A2_B1"
1,39082,"laser","prolong","prolong",100,"correct","correct","A2_B2"
1,39082,"liberty","native","natives",92,"wrong","correct","A1_B2"
1,39082,"madness","wizard","wizard",100,"correct","correct","A2_B2"
1,39082,"modesty","IDK","annual",0,"wrong","wrong","A1_B1"
1,39082,"mole","educate","educate",100,"correct","correct","A2_B2"
1,39082,"mutant","annual","banking",46,"wrong","wrong","A1_B2"
1,39082,"olive","burden","knob",20,"wrong","wrong","A1_B1"
1,39082,"orange","fruit","fruit",100,"correct","correct","trial"
1,39082,"orphan","folklore","folklore",100,"correct","correct","A1_B2"
1,39082,"pageant","flyer","flyer",100,"correct","correct","A2_B2"
1,39082,"pigeon","IDK","litter",22,"wrong","wrong","A1_B1"
1,39082,"poised","IDK","giggle",22,"wrong","wrong","A1_B2"
1,39082,"proposal","IDK","vitamin",20,"wrong","wrong","A1_B1"
1,39082,"publicity","IDK","upon",0,"wrong","wrong","A2_B1"
1,39082,"publish","IDK","nuisance",18,"wrong","wrong","A2_B1"
1,39082,"sacred","hairdo","hairdo",100,"correct","correct","A2_B2"
1,39082,"sewer","compute","compute",100,"correct","correct","A2_B1"
1,39082,"surgical","breed","breed",100,"correct","correct","A1_B2"
1,39082,"vessel","IDK","regard",22,"wrong","wrong","A1_B1"
1,39112,"adjust","idk","prolong",0,"wrong","wrong","A2_B2"
1,39112,"anguish","idk","east",0,"wrong","wrong","A2_B2"
1,39112,"apple","flower","fruit",36,"wrong","wrong","trial"
1,39112,"banner","regard","regard",100,"correct","correct","A2_B1"
1,39112,"bloom","idk","knob",29,"wrong","wrong","A1_B2"
1,39112,"boost","donations","guiding",38,"wrong","wrong","A1_B1"
1,39112,"breeding","baby","hunter",0,"wrong","wrong","A1_B2"
1,39112,"broker","idk","fatal",0,"wrong","wrong","A1_B1"
1,39112,"click","idk","folklore",18,"wrong","wrong","A2_B2"
1,39112,"compound","chemistry","chemist",88,"wrong","correct","A2_B2"
1,39112,"confined","space","portray",33,"wrong","wrong","A1_B1"
1,39112,"cosmic","world","frozen",18,"wrong","wrong","A1_B2"
1,39112,"currency","striped","striped",100,"correct","correct","A2_B1"
1,39112,"delayed","idk","ominous",20,"wrong","wrong","A1_B2"
1,39112,"demand","haircut","hairdo",62,"wrong","wrong","A2_B1"
1,39112,"depend","native","natives",92,"wrong","correct","A1_B1"
1,39112,"dive","litter","litter",100,"correct","correct","A2_B1"
1,39112,"donation","donation","donation",100,"correct","correct","A2_B2"
1,39112,"editing","work","spacious",17,"wrong","wrong","A2_B1"
1,39112,"gallery","art","oyster",22,"wrong","wrong","A1_B2"
1,39112,"gifted","idk","frontier",18,"wrong","wrong","A1_B1"
1,39112,"grape","fruit","flower",36,"wrong","wrong","trial"
1,39112,"harass","idk","flyer",0,"wrong","wrong","A2_B1"
1,39112,"heroic","writer","writer",100,"correct","correct","A2_B1"
1,39112,"laser","beam","divine",20,"wrong","wrong","A2_B2"
1,39112,"liberty","idk","wasp",0,"wrong","wrong","A1_B2"
1,39112,"madness","idk","educate",20,"wrong","wrong","A2_B2"
1,39112,"modesty","idk","banking",20,"wrong","wrong","A1_B1"
1,39112,"mole","idk","mature",0,"wrong","wrong","A2_B2"
1,39112,"mutant","knob","annual",20,"wrong","wrong","A1_B2"
1,39112,"olive","nurse","nurse",100,"correct","correct","A1_B1"
1,39112,"orange","tree","tree",100,"correct","correct","trial"
1,39112,"orphan","idk","mischief",18,"wrong","wrong","A1_B2"
1,39112,"pageant","fatale","giggle",33,"wrong","wrong","A2_B2"
1,39112,"pigeon","idk","compute",0,"wrong","wrong","A1_B1"
1,39112,"poised","fatale","habitat",46,"wrong","wrong","A1_B2"
1,39112,"proposal","idk","crack",25,"wrong","wrong","A1_B1"
1,39112,"publicity","idk","venom",0,"wrong","wrong","A2_B1"
1,39112,"publish","book","nuisance",0,"wrong","wrong","A2_B1"
1,39112,"sacred","idk","vitamin",20,"wrong","wrong","A2_B2"
1,39112,"sewer","wizard","wizard",100,"correct","correct","A2_B1"
1,39112,"surgical","open","upon",50,"wrong","wrong","A1_B2"
1,39112,"vessel","idk","breed",25,"wrong","wrong","A1_B1"
1,39129,"adjust","IDK","spacious",18,"wrong","wrong","A2_B2"
1,39129,"anguish","east","east",100,"correct","correct","A2_B2"
1,39129,"apple","fruit","fruit",100,"correct","correct","trial"
1,39129,"banner","chemist","chemist",100,"correct","correct","A2_B1"
1,39129,"bloom","fatal","fatal",100,"correct","correct","A1_B2"
1,39129,"boost","IDK","nuisance",18,"wrong","wrong","A1_B1"
1,39129,"breeding","guiding","guiding",100,"correct","correct","A1_B2"
1,39129,"broker","giggle","giggle",100,"correct","correct","A1_B1"
1,39129,"click","IDK","mischief",18,"wrong","wrong","A2_B2"
1,39129,"compound","breeding","breed",77,"wrong","wrong","A2_B2"
1,39129,"confined","breeding","donation",38,"wrong","wrong","A1_B1"
1,39129,"cosmic","hunter","hunter",100,"correct","correct","A1_B2"
1,39129,"currency","banking","banking",100,"correct","correct","A2_B1"
1,39129,"delayed","folklore","folklore",100,"correct","correct","A1_B2"
1,39129,"demand","upon","upon",100,"correct","correct","A2_B1"
1,39129,"depend","IDK","regard",22,"wrong","wrong","A1_B1"
1,39129,"dive","IDK","writer",22,"wrong","wrong","A2_B1"
1,39129,"donation","confined","frozen",29,"wrong","wrong","A2_B2"
1,39129,"editing","prologn","prolong",86,"wrong","correct","A2_B1"
1,39129,"gallery","divine","divine",100,"correct","correct","A1_B2"
1,39129,"gifted","compute","compute",100,"correct","correct","A1_B1"
1,39129,"grape","tree","tree",100,"correct","correct","trial"
1,39129,"harass","IDK","knob",29,"wrong","wrong","A2_B1"
1,39129,"heroic","mature","mature",100,"correct","correct","A2_B1"
1,39129,"laser","oyster","oyster",100,"correct","correct","A2_B2"
1,39129,"liberty","natives","natives",100,"correct","correct","A1_B2"
1,39129,"madness","wizard","wizard",100,"correct","correct","A2_B2"
1,39129,"modesty","IDK","nurse",0,"wrong","wrong","A1_B1"
1,39129,"mole","educate","educate",100,"correct","correct","A2_B2"
1,39129,"mutant","striped","striped",100,"correct","correct","A1_B2"
1,39129,"olive","annual","annual",100,"correct","correct","A1_B1"
1,39129,"orange","flower","flower",100,"correct","correct","trial"
1,39129,"orphan","ominous","ominous",100,"correct","correct","A1_B2"
1,39129,"pageant","flyer","flyer",100,"correct","correct","A2_B2"
1,39129,"pigeon","frontier","frontier",100,"correct","correct","A1_B1"
1,39129,"poised","habitat","habitat",100,"correct","correct","A1_B2"
1,39129,"proposal","IDK","hairdo",44,"wrong","wrong","A1_B1"
1,39129,"publicity","IDK","venom",0,"wrong","wrong","A2_B1"
1,39129,"publish","IDK","portray",0,"wrong","wrong","A2_B1"
1,39129,"sacred","vitamins","vitamin",93,"wrong","correct","A2_B2"
1,39129,"sewer","litter","litter",100,"correct","correct","A2_B1"
1,39129,"surgical","IDK","crack",25,"wrong","wrong","A1_B2"
1,39129,"vessel","wasp","wasp",100,"correct","correct","A1_B1"
1,39148,"adjust","IDK","nuisance",18,"wrong","wrong","A2_B2"
1,39148,"anguish","striped","striped",100,"correct","correct","A2_B2"
1,39148,"apple","tree","tree",100,"correct","correct","trial"
1,39148,"banner","IDK","crack",25,"wrong","wrong","A2_B1"
1,39148,"bloom","annual","annual",100,"correct","correct","A1_B2"
1,39148,"boost","IDK","prolong",0,"wrong","wrong","A1_B1"
1,39148,"breeding","IDK","portray",0,"wrong","wrong","A1_B2"
1,39148,"broker","IDK","banking",20,"wrong","wrong","A1_B1"
1,39148,"click","IDK","educate",20,"wrong","wrong","A2_B2"
1,39148,"compound","chemist","venom",33,"wrong","wrong","A2_B2"
1,39148,"confined","IDK","hunter",0,"wrong","wrong","A1_B1"
1,39148,"cosmic","IDK","guiding",40,"wrong","wrong","A1_B2"
1,39148,"currency","IDK","knob",29,"wrong","wrong","A2_B1"
1,39148,"delayed","IDK","writer",22,"wrong","wrong","A1_B2"
1,39148,"demand","IDK","natives",20,"wrong","wrong","A2_B1"
1,39148,"depend","IDK","chemist",20,"wrong","wrong","A1_B1"
1,39148,"dive","IDK","wizard",44,"wrong","wrong","A2_B1"
1,39148,"donation","IDK","spacious",18,"wrong","wrong","A2_B2"
1,39148,"editing","IDK","oyster",0,"wrong","wrong","A2_B1"
1,39148,"gallery","IDK","divine",22,"wrong","wrong","A1_B2"
1,39148,"gifted","IDK","frontier",18,"wrong","wrong","A1_B1"
1,39148,"grape","fruit","fruit",100,"correct","correct","trial"
1,39148,"harass","IDK","flyer",0,"wrong","wrong","A2_B1"
1,39148,"heroic","mature","mature",100,"correct","correct","A2_B1"
1,39148,"laser","IDK","frozen",0,"wrong","wrong","A2_B2"
1,39148,"liberty","upon","upon",100,"correct","correct","A1_B2"
1,39148,"madness","mischief","mischief",100,"correct","correct","A2_B2"
1,39148,"modesty","IDK","habitat",20,"wrong","wrong","A1_B1"
1,39148,"mole","folklore","folklore",100,"correct","correct","A2_B2"
1,39148,"mutant","IDK","giggle",22,"wrong","wrong","A1_B2"
1,39148,"olive","IDK","east",0,"wrong","wrong","A1_B1"
